NestID,County,Substrate,Latitude,Longitude,Occupied,Active,Successful,Hatched,Fledged,Perished,Status,Station,Distance
HL060,Hillsborough,Artificial Substrate,27.849333,-82.533167,1,0,0,0,0,0,Destroyed,USW00092806,12.79213818
HL062,Hillsborough,Tree,27.843066,-82.133904,1,1,1,2,2,0,Successful,USW00012883,19.2994833
HL063,Hillsborough,Artificial Substrate,28.0155,-82.428333,1,1,0,0,0,0,Failed,USW00012873,27.73456742
HL064,Hillsborough,Artificial Substrate,27.8055,-82.329833,1,1,1,2,2,0,Successful,USW00092806,29.39313261
HL067,Hillsborough,Tree,28.071133,-82.503807,1,1,1,2,2,0,Successful,USW00012873,25.08746976
HL068,Hillsborough,Artificial Substrate,27.99575,-82.5562,1,1,0,0,0,0,Failed,USW00012873,15.71634832
HL069,Hillsborough,Tree,28.16933333,-82.57683333,0,0,0,0,0,0,Destroyed,USC00088824,17.452179
HL070,Hillsborough,Artificial Substrate,28.02448,-82.255171,1,1,1,1,1,0,Successful,USW00012883,20.32438826
HL071,Hillsborough,Tree,27.951407,-82.252039,1,1,1,2,2,0,Successful,USW00012883,20.56314038
HL072,Hillsborough,Artificial Substrate,27.93912485,-82.4380665,0,0,0,0,0,0,Gone,USW00012873,24.49339137
HL073,Hillsborough,Artificial Substrate,27.706623,-82.437009,0,0,0,0,0,0,Inactive,USW00092806,19.8011243
HL075,Hillsborough,Artificial Substrate,27.841662,-82.367554,1,1,1,2,2,0,Successful,USW00092806,26.66092918
HL076,Hillsborough,Artificial Substrate,28.005732,-82.597779,0,0,0,0,0,0,Inactive,USW00012873,13.47859121
HL077,Hillsborough,Artificial Substrate,27.902313,-82.504344,1,1,0,2,0,2,Failed,USW00012873,17.8423074
HL079,Hillsborough,Artificial Substrate,28.171047,-82.211927,0,0,0,0,0,0,Destroyed,USW00012883,24.78075601
HL081,Hillsborough,Tree,27.998523,-82.095891,1,1,1,2,2,0,Successful,USW00012883,4.508575314
HL082,Hillsborough,Tree,27.850221,-82.481563,1,1,1,2,2,0,Successful,USW00092806,16.83876069
HL083,Hillsborough,Tree,27.733824,-82.444094,1,1,1,2,2,0,Successful,USW00092806,18.27957969
HL084,Hillsborough,Tree,28.074061,-82.293802,1,1,1,2,2,0,Successful,USW00012883,25.30559143
HL085,Hillsborough,Artificial Substrate,27.863147,-82.199477,1,1,0,0,0,0,Failed,USW00012883,21.14743486
HL086,Hillsborough,Artificial Substrate,27.862035,-82.367159,1,1,1,1,1,0,Successful,USW00092806,27.47114682
HL087,Hillsborough,Artificial Substrate,28.110984,-82.24471,1,0,0,0,0,0,Failed,USW00012883,22.74558147
HL088,Hillsborough,Artificial Substrate,28.127088,-82.524627,1,0,0,0,0,0,Failed,USC00088824,22.64435606
