NestID,County,Substrate,Latitude,Longitude,Occupied,Active,Successful,Hatched,Fledged,Perished,Year,Status
AL102,Alachua,tree,29.491,-82.181,Yes,Yes,Yes,1,1,0,2016,
BE027,Brevard,tree,28.045,-80.612,Yes,Yes,Yes,2,2,0,2016,
BE037,Brevard,tree,28.152,-80.69,Yes,Yes,Yes,2,2,0,2016,
BE056,Brevard,tree,28.26,-80.692,No,No,No,0,0,0,2016,
BO002,Broward,tree,26.007,-80.426,Yes,Yes,Yes,1,1,0,2016,
BO003,Broward,tree,26.307,-80.165,Yes,No,No,0,0,0,2016,
CH017,Charlotte,tree,26.925,-82.338,Yes,Yes,Yes,2,2,0,2016,
CL007,Clay,tree,30.128,-81.759,Yes,Yes,Yes,1,1,0,2016,
CL011,Clay,tree,30.141,-81.71,no,no,no,0,0,0,2016,
CL016,Clay,tree,30.104,-81.76,Yes,Yes,No,1,0,1,2016,
CL020,Clay,tree,30.067,-81.699,no,no,no,0,0,0,2016,
CL023,Clay,tree,29.843,-81.967,Yes,Yes,Yes,2,2,0,2016,
CL028,Clay,tree,30.023,-81.694,Yes,Yes,Yes,1,1,0,2016,
CL029,Clay,tree,30.132,-81.723,Yes,Yes,Yes,2,2,0,2016,
CL032,Clay,tree,30.141,-81.706,Yes,Yes,Yes,2,2,0,2016,
CO029,Collier,tree,25.954,-81.737,Yes,Yes,Yes,1,1,0,2016,
CO036,Collier,tree,26.289,-81.813,Yes,Yes,Yes,2,2,0,2016,
CO040,Collier,tree,26.115,-81.767,Yes,Yes,Yes,2,2,0,2016,
CO043,Collier,tree,26.260667,-81.777667,Yes,Yes,Yes,1,1,0,2016,
CO056,Collier,tree,26.148341,-81.67956,Yes,Yes,Yes,2,2,0,2016,
DA003,Dade,tree,25.872275,-80.382611,Yes,Yes,Yes,2,2,0,2016,
DU006,Duval,tree,30.285333,-81.414833,Yes,No,No,0,0,0,2016,
DU010,Duval,tree,30.473,-81.505,Yes,Yes,No,2,0,2,2016,
DU012,Duval,tree,30.35,-81.416,Yes,Yes,Yes,2,2,0,2016,
DU013,Duval,tree,30.355,-81.476,Yes,Yes,Yes,2,2,0,2016,
DU014,Duval,tree,30.208,-81.628,Yes,Yes,Yes,2,2,0,2016,
DU018,Duval,tree,30.274,-81.414,Yes,Yes,Yes,2,2,0,2016,
DU020,Duval,tree,30.287,-81.659,Yes,Yes,Yes,2,2,0,2016,
DU027,Duval,tree,30.320105,-81.74785,Yes,Yes,Yes,2,1,1,2016,
DU023,Duval,tree,30.255,-81.565,Yes,Yes,Yes,2,2,0,2016,
DU025,Duval,tree,30.288764,-81.706799,Yes,Yes,Yes,1,1,0,2016,
DU026,Duval,artificial structure,30.32036,-81.45011,Yes,No,No,0,0,0,2016,
DU028,Duval,tree,30.383,-81.498,Yes,Yes,Yes,1,1,0,2016,
DU029,Duval,tree,30.354,-81.611,Yes,Yes,Yes,2,2,0,2016,
DU034,Duval,tree,30.172,-81.641,Yes,Yes,Yes,2,2,0,2016,
FL007,Flagler,tree,29.502,-81.15,Yes,Yes,Yes,2,2,0,2016,
FL013,Flagler,tree,29.561,-81.194,Yes,Yes,Yes,2,2,0,2016,
GU021,Gulf,tree,29.682,-85.335,Yes,Yes,Yes,1,1,0,2016,
HI048,Highlands,tree,27.56683,-81.50433,Yes,Yes,Yes,2,2,0,2016,
HL004,Hillsborough,tree,28.025833,-82.646833,Yes,No,No,0,0,0,2016,
HL006,Hillsborough,tree,27.880345,-82.366422,Yes,Yes,Yes,1,1,0,2016,
HL007,Hillsborough,tree,27.724667,-82.465167,Yes,Yes,Yes,1,1,0,2016,
HL008,Hillsborough,artificial structure,27.660186,-82.436858,Yes,No,No,0,0,0,2016,
HL017,Hillsborough,tree,27.898,-82.391167,No,No,No,0,0,0,2016,
HL019,Hillsborough,tree,27.752,-82.15,Yes,Yes,Yes,1,1,0,2016,
HL024,Hillsborough,tree,27.838,-82.495,Yes,Yes,Yes,1,1,0,2016,
HL029,Hillsborough,artificial structure,27.972,-82.223,Yes,Yes,Yes,2,2,0,2016,
HL038,Hillsborough,artificial structure,28.086,-82.357,Yes,Yes,Yes,2,1,1,2016,
HL042,Hillsborough,artificial structure,27.763,-82.411167,Yes,No,No,0,0,0,2016,
HL043,Hillsborough,tree,28.00466,-82.25383,No,No,No,0,0,0,2016,
HL044,Hillsborough,artificial structure,28.006,-82.585,No,No,No,0,0,0,2016,
HL047,Hillsborough,artificial structure,27.90516,-82.34383,Yes,Yes,Yes,1,1,0,2016,
HL050,Hillsborough,tree,27.98,-82.137,Yes,Yes,Yes,2,2,0,2016,
HL051,Hillsborough,artificial structure,27.941667,-82.402333,No,No,No,0,0,0,2016,
HL052,Hillsborough,tree,28.054,-82.254,Yes,Yes,Yes,2,2,0,2016,
HL055,Hillsborough,artificial structure,28.006,-82.371,Yes,Yes,Yes,2,2,0,2016,
HL056,Hillsborough,artificial structure,27.967,-82.241,no,no,no,0,0,0,2016,
HL057,Hillsborough,artificial structure,28.019075,-82.611409,No,No,No,0,0,0,2016,
HL058,Hillsborough,artificial structure,28.004,-82.339,Yes,No,No,0,0,0,2016,
HL059,Hillsborough,tree,28.125,-82.31,Yes,Yes,Yes,2,2,0,2016,
HL061,Hillsborough,artificial structure,28.170833,-82.3915,Yes,No,No,0,0,0,2016,
HL062,Hillsborough,artificial structure,27.839,-82.128,Yes,Yes,Yes,2,2,0,2016,
HL063,Hillsborough,artificial structure,28.0155,-82.42833,Yes,No,No,0,0,0,2016,
HL064,Hillsborough,artificial structure,27.805,-82.329,Yes,Yes,Yes,2,2,0,2016,
HL066,Hillsborough,artificial structure,28.03529,-82.512,No,no,no,0,0,0,2016,
HL067,Hillsborough,tree,28.07,-82.503,Yes,Yes,Yes,2,2,0,2016,
HL068,Hillsborough,artificial structure,27.995,-82.556,Yes,Yes,Yes,2,1,1,2016,
HL069,Hillsborough,tree,28.169333,-82.576833,Yes,Yes,Yes,2,2,0,2016,
HL070,Hillsborough,artificial structure,28.02448,-82.255171,Yes,Yes,Yes,1,1,0,2016,
HL071,Hillsborough,tree,27.951,-82.252,Yes,Yes,Yes,2,2,0,2016,
HL073,Hillsborough,artificial structure,27.706623,-82.437009,Yes,Yes,Yes,2,2,0,2016,
HL078,Hillsborough,artificial structure,28.077,-82.316,Yes,No,No,0,0,0,2016,
HL963,Hillsborough,artificial structure,27.983,-82.275,No,No,No,0,0,0,2016,
LA015,Lake,tree,28.805,-81.755167,Yes,Yes,Yes,2,2,0,2016,
LA180,Lake,tree,28.56883,-81.83533,Yes,Yes,Yes,2,2,0,2016,
LE026,Lee,tree,26.697,-81.848,Yes,Yes,Yes,2,2,0,2016,
LE056,Lee,tree,26.618,-81.655,Yes,Yes,Yes,2,2,0,2016,
MN004,Manatee,tree,27.418,-82.515,Yes,Yes,Yes,1,1,0,2016,
MN006,Manatee,tree,27.488,-82.515,Yes,Yes,Yes,2,2,0,2016,
MN011,Manatee,tree,27.455,-82.33,Yes,Yes,Yes,1,1,0,2016,
MN014,Manatee,tree,27.535,-82.473,Yes,Yes,Yes,2,2,0,2016,
MN015,Manatee,tree,27.435,-82.413,Yes,Yes,Yes,2,2,0,2016,
MN017,Manatee,artificial structure,27.553,-82.458,Yes,Yes,Yes,2,2,0,2016,
MN018,Manatee,tree,27.417,-82.566,No,No,No,0,0,0,2016,
MN023,Manatee,tree,27.461,-82.487,Yes,Yes,Yes,2,2,0,2016,
MN027,Manatee,tree,27.575,-82.5,Yes,No,No,0,0,0,2016,
MN036,Manatee,tree,27.446,-82.46,Yes,Yes,Yes,2,2,0,2016,
MN038,Manatee,artificial structure,27.456,-82.649,Yes,Yes,Yes,1,1,0,2016,
MN040,Manatee,tree,27.417224,-82.45005,Yes,Yes,Yes,2,2,0,2016,
MN046,Manatee,artificial structure,27.458,-82.575,Yes,Yes,Yes,2,2,0,2016,
MN049,Manatee,artificial structure,27.51,-82.715,Yes,Yes,Yes,1,1,0,2016,
MN050,Manatee,artificial structure,27.461,-82.626,Yes,Yes,Yes,2,1,1,2016,
MN054,Manatee,artificial structure,27.581,-82.444,Yes,Yes,Yes,1,1,0,2016,
MT001,Martin,tree,27.01,-80.138,Yes,Yes,Yes,1,1,0,2016,
MT004,Martin,tree,27.127,-80.66,Yes,No,No,0,0,0,2016,
MT006,Martin,tree,26.968,-80.549,Yes,Yes,Yes,2,2,0,2016,
MT011,Martin,tree,26.969,-80.572,Yes,Yes,Yes,1,1,0,2016,
MT017,Martin,tree,26.960667,-80.575667,Yes,Yes,Yes,2,1,1,2016,
MT026,Martin,tree,27.04583,-80.34233,Yes,Yes,Yes,2,2,0,2016,
MT027,Martin,tree,27.191,-80.212,Yes,Yes,Yes,2,2,0,2016,
MT029,Martin,tree,27.255,-80.217,Yes,Yes,No,2,0,2,2016,
MT031,Martin,tree,27.180758,-80.274891,Yes,No,No,0,0,0,2016,
NA004,Nassau,tree,30.574,-81.456,Yes,Yes,Yes,1,1,0,2016,
OK013,Okeechobee,tree,27.143,-80.68,Yes,Yes,Yes,2,1,1,2016,
OR007,Orange,tree,28.475,-81.6,Yes,Yes,Yes,2,2,0,2016,
OR039,Orange,tree,28.543,-81.572,Yes,Yes,Yes,1,1,0,2016,
OR042,Orange,tree,28.535,-81.357,Yes,Yes,Yes,1,1,0,2016,
OR052,Orange,tree,28.543833,-81.595667,No,No,No,0,0,0,2016,
OR053,Orange,tree,28.465,-81.542,Yes,Yes,Yes,2,1,1,2016,
OR054,Orange,tree,28.559833,-81.645333,No,No,No,0,0,0,2016,
OR058,Orange,tree,28.746,-81.532,Yes,Yes,Yes,1,1,0,2016,
OR060,Orange,tree,28.487947,-81.365421,Yes,Yes,Yes,2,2,0,2016,
OR067,Orange,artificial structure,28.517,-81.539,Yes,Yes,Yes,2,2,0,2016,
OR069,Orange,artificial structure,28.516833,-81.288,Yes,No,No,0,0,0,2016,
OR076,Orange,tree,28.555,-81.395,Yes,No,No,0,0,0,2016,
OR077,Orange,artificial structure,28.491,-81.463,Yes,Yes,Yes,2,2,0,2016,
OR083,Orange,tree,28.557,-81.627,Yes,Yes,No,1,0,1,2016,
OR091,Orange,artificial structure,28.593,-81.26,Yes,Yes,Yes,2,2,0,2016,
OR092,Orange,tree,28.5435,-81.6125,Yes,Yes,Yes,2,2,0,2016,
OR966,Orange,artificial structure,28.516,-81.592,Yes,No,No,0,0,0,2016,
OR97D,Orange,tree,28.512886,-81.609191,Yes,Yes,No,0,0,0,2016,
OS156,Osceola,tree,28.222,-81.37,Yes,Yes,Yes,2,2,0,2016,
OS180,Osceola,tree,28.319,-81.419,Yes,Yes,Yes,2,1,1,2016,
PB001,Palm Beach,tree,26.686,-80.769167,Yes,Yes,Yes,1,1,0,2016,
PB021,Palm Beach,tree,26.399,-80.229,No,No,No,0,0,0,2016,
PB025,Palm Beach,tree,26.737,-80.358,Yes,Yes,Yes,2,2,0,2016,
PB027,Palm Beach,tree,26.572,-80.208,Yes,Yes,Yes,1,1,0,2016,
PB030,Palm Beach,tree,26.748,-80.141,Yes,Yes,Yes,2,2,0,2016,
PB033,Palm Beach,artificial structure,26.4,-80.145,Yes,No,No,0,0,0,2016,
PI014,Pinellas,artificial structure,27.738,-82.668,Yes,Yes,Yes,2,2,0,2016,
PI018,Pinellas,tree,28.1,-82.755,Yes,No,No,0,0,0,2016,
PI020,Pinellas,tree,28.008,-82.768,Yes,Yes,Yes,2,2,0,2016,
PI030,Pinellas,artificial structure,28.172,-82.652,Yes,Yes,Yes,2,2,0,2016,
PI031,Pinellas,artificial structure,27.77,-82.712,Yes,Yes,Yes,2,2,0,2016,
PI035,Pinellas,artificial structure,27.73,-82.639,Yes,Yes,Yes,1,1,0,2016,
PI037,Pinellas,tree,27.965,-82.696,Yes,Yes,Yes,1,1,0,2016,
PI039,Pinellas,tree,28.08233,-82.8295,Yes,Yes,Yes,2,2,0,2016,
PI041,Pinellas,tree,28.171,-82.741,Yes,Yes,Yes,2,2,0,2016,
PI044,Pinellas,tree,28.117,-82.741,No,No,No,0,0,0,2016,
PI045,Pinellas,tree,28.177,-82.75,Yes,Yes,Yes,1,1,0,2016,
PI046,Pinellas,tree,28.13783,-82.78366,Yes,Yes,Yes,2,2,0,2016,
PI050,Pinellas,artificial structure,27.818,-82.791,Yes,Yes,No,1,0,1,2016,
PI052,Pinellas,artificial structure,28.132,-82.758,Yes,Yes,Yes,1,1,0,2016,
PI056,Pinellas,tree,27.84,-82.727,Yes,Yes,Yes,1,1,0,2016,
PI058,Pinellas,artificial structure,28.05966,-82.7015,Yes,No,No,0,0,0,2016,
PI060,Pinellas,tree,28.089,-82.771,No,No,No,0,0,0,2016,
PI062,Pinellas,tree,28.03433,-82.779,No,No,No,0,0,0,2016,
PI067,Pinellas,tree,28.10694,-82.71263,Yes,Yes,Yes,3,3,0,2016,
PI068,Pinellas,tree,28.068384,-82.777237,Yes,Yes,Yes,1,1,0,2016,
PI966,Pinellas,tree,28.108,-82.736,Yes,Yes,Yes,1,1,0,2016,
PO011,Polk,tree,27.922,-81.373,Yes,Yes,Yes,2,2,0,2016,
PO039,Polk,tree,27.992,-81.877,Yes,Yes,Yes,1,1,0,2016,
PO043,Polk,artificial structure,27.956,-81.791,Yes,Yes,Yes,1,1,0,2016,
PO045,Polk,tree,27.936,-81.849,Yes,Yes,Yes,1,1,0,2016,
PO046,Polk,artificial structure,27.985,-81.888,Yes,No,No,0,0,0,2016,
PO054,Polk,tree,27.972,-81.495,Yes,Yes,Yes,2,2,0,2016,
PO061,Polk,tree,28.078,-81.705,Yes,Yes,Yes,1,1,0,2016,
PO062,Polk,tree,27.95,-81.945,Yes,Yes,Yes,2,2,0,2016,
PO067,Polk,tree,28.003,-81.682,Yes,Yes,Yes,2,2,0,2016,
PO071,Polk,tree,27.848,-81.97,Yes,Yes,Yes,2,2,0,2016,
PO073,Polk,tree,28.067,-81.737,Yes,Yes,Yes,2,2,0,2016,
PO082,Polk,tree,27.97,-81.55,Yes,Yes,Yes,2,2,0,2016,
PO084,Polk,tree,27.954167,-81.355167,Yes,Yes,Yes,2,2,0,2016,
PO086,Polk,tree,27.973,-81.55,Yes,Yes,Yes,2,2,0,2016,
PO093,Polk,artificial structure,27.979,-81.392,Yes,No,No,0,0,0,2016,
PO128,Polk,tree,28.092,-81.825,Yes,Yes,Yes,2,2,0,2016,
PO129,Polk,tree,28.065,-82.02,Yes,Yes,Yes,1,1,0,2016,
PO131,Polk,tree,27.948,-81.532,Yes,No,No,0,0,0,2016,
PO132,Polk,tree,28.09,-81.518,Yes,Yes,Yes,2,2,0,2016,
PO139,Polk,tree,27.828,-81.557,Yes,Yes,Yes,1,1,0,2016,
PO142,Polk,tree,27.98,-81.508,Yes,Yes,Yes,2,2,0,2016,
PO145,Polk,tree,27.948,-81.513,Yes,Yes,Yes,1,1,0,2016,
PO146,Polk,tree,27.927167,-81.354,No,No,No,0,0,0,2016,
PO147,Polk,tree,27.847,-81.607,Yes,No,No,0,0,0,2016,
PO149,Polk,tree,28.073,-81.692,Yes,Yes,No,1,0,1,2016,
PO151,Polk,tree,27.778,-81.987,No,No,No,0,0,0,2016,
PO160,Polk,tree,28.028,-81.905,Yes,No,No,0,0,0,2016,
PO167,Polk,Tree,28.011601,-81.631893,Yes,Yes,Yes,2,2,0,2016,
PO169,Polk,tree,27.99,-81.859,Yes,No,No,0,0,0,2016,
PO171,Polk,artificial structure,27.825,-81.833,Yes,Yes,Yes,1,1,0,2016,
PO180,Polk,tree,28.062,-81.514,Yes,Yes,Yes,2,2,0,2016,
PO190,Polk,tree,28.005,-81.927,Yes,No,No,0,0,0,2016,
PO193,Polk,tree,28.113,-81.823,Yes,Yes,Yes,2,2,0,2016,
PO194,Polk,tree,28.073,-81.711,Yes,Yes,Yes,1,1,0,2016,
PO198,Polk,tree,27.872,-82.026,No,No,No,0,0,0,2016,
PO199,Polk,tree,27.99166,-81.52816,Yes,Yes,Yes,1,1,0,2016,
PO202,Polk,tree,27.734,-81.528,Yes,Yes,Yes,2,2,0,2016,
PO203,Polk,artificial structure,27.903,-81.866,Yes,Yes,Yes,2,2,0,2016,
PO208,Polk,tree,28.062167,-81.730833,Yes,Yes,Yes,2,2,0,2016,
PO225,Polk,artificial structure,28.007,-82.047,Yes,No,No,0,0,0,2016,
PO226,Polk,tree,28.097,-81.697,Yes,No,No,0,0,0,2016,
PO228,Polk,tree,28.084,-81.549,Yes,Yes,Yes,2,2,0,2016,
PO229,Polk,Tree,28.025,-81.801,Yes,Yes,Yes,2,2,0,2016,
PO230,Polk,artificial structure,27.896,-81.985,Yes,Yes,Yes,2,1,1,2016,
PO232,Polk,tree,27.932,-81.791,Yes,Yes,Yes,1,1,0,2016,
PO236,Polk,tree,27.985,-81.683,Yes,Yes,Yes,1,1,0,2016,
PO240,Polk,artificial structure,28.051,-81.815,Yes,No,No,0,0,0,2016,
PO245,Polk,tree,27.86752,-81.59495,Yes,No,No,0,0,0,2016,
PO247,Polk,artificial structure,27.918,-81.628,Yes,Yes,Yes,1,1,0,2016,
PO248,Polk,artificial structure,27.888444,-81.827092,Yes,Yes,Yes,1,1,0,2016,
PO249,Polk,artificial structure,28.151,-81.832,Yes,Yes,Yes,2,2,0,2016,
PO253,Polk,tree,27.749,-81.992,Yes,Yes,Yes,2,2,0,2016,
PO257,Polk,tree,27.805,-81.958,Yes,Yes,Yes,2,2,0,2016,
PO258,Polk,artificial structure,27.929,-81.541,Yes,Yes,Yes,1,1,0,2016,
PO260,Polk,tree,28.03758,-81.662815,Yes,Yes,Yes,2,2,0,2016,
PO261,Polk,artificial structure,28.007202,-81.856447,Yes,Yes,Yes,1,1,0,2016,
PO264,Polk,tree,27.994333,-81.534,Yes,No,No,0,0,0,2016,
PO271,Polk,tree,27.952875,-81.354563,Yes,No,No,0,0,0,2016,
PO272,Polk,tree,27.933655,-81.362667,Yes,Yes,Yes,1,1,0,2016,
PO273,Polk,tree,27.928,-81.381,Yes,No,No,0,0,0,2016,
PO280,Polk,tree,27.93303,-81.37044,No,No,No,0,0,0,2016,
PO974,Polk,tree,27.95,-81.418,Yes,Yes,Yes,1,1,0,2016,
POGRE,Polk,tree,28.073,-81.544,Yes,Yes,Yes,1,1,0,2016,
POHAT,Polk,artificial structure,28.068,-81.893,Yes,Yes,Yes,2,2,0,2016,
POKSP2,Polk,tree,27.936667,-81.355343,No,No,No,0,0,0,2016,
POKSP6,Polk,tree,27.915,-81.365,No,No,No,0,0,0,2016,
POMGR,Polk,tree,27.924663,-81.506474,Yes,No,No,0,0,0,2016,
PS003,Pasco,tree,28.238,-82.71,Yes,Yes,Yes,2,2,0,2016,
PS004,Pasco,tree,28.197,-82.783,No,No,No,0,0,0,2016,
PS010,Pasco,tree,28.187,-82.775,No,No,No,0,0,0,2016,
PS012,Pasco,tree,28.245,-82.492,Yes,Yes,Yes,1,1,0,2016,
PS014,Pasco,tree,28.18,-82.787,Yes,Yes,Yes,2,2,0,2016,
PS017,Pasco,tree,28.295,-82.713,Yes,Yes,Yes,2,2,0,2016,
PS023,Pasco,artificial structure,28.364,-82.696,Yes,Yes,Yes,1,1,0,2016,
PS024,Pasco,tree,28.227,-82.743,Yes,Yes,Yes,2,2,0,2016,
PS025,Pasco,tree,28.431705,-82.250118,Yes,Yes,Yes,2,1,1,2016,
PS027,Pasco,tree,28.199,-82.663,Yes,No,No,0,0,0,2016,
PS028,Pasco,tree,28.216,-82.748,Yes,Yes,Yes,1,1,0,2016,
PS034,Pasco,tree,28.203731,-82.771194,Yes,Yes,Yes,2,2,0,2016,
PU158,Putnam,tree,29.662,-81.615,Yes,Yes,Yes,1,1,0,2016,
PU165,Putnam,tree,29.643,-81.61,Yes,Yes,Yes,1,1,0,2016,
PU173,Putnam,tree,29.758,-81.534,Yes,No,No,0,0,0,2016,
SA001,Sarasota,tree,27.295,-82.518,Yes,Yes,Yes,2,2,0,2016,
SA009,Sarasota,tree,27.148,-82.433,Yes,Yes,Yes,2,2,0,2016,
SA011,Sarasota,tree,27.195,-82.452,No,No,No,0,0,0,2016,
SA023,Sarasota,tree,27.135,-82.38,Yes,Yes,Yes,2,2,0,2016,
SA028,Sarasota,tree,27.322,-82.42,Yes,Yes,Yes,2,2,0,2016,
SA033,Sarasota,tree,27.385,-82.637,Yes,Yes,Yes,1,1,0,2016,
SA040,Sarasota,tree,27.235,-82.503,Yes,Yes,Yes,2,2,0,2016,
SA045,Sarasota,tree,27.08128,-82.43477,Yes,No,No,0,0,0,2016,
SA050,Sarasota,tree,27.126,-82.441,Yes,Yes,Yes,2,2,0,2016,
SA052,Sarasota,tree,27.286,-82.418,Yes,Yes,Yes,1,1,0,2016,
SA056,Sarasota,tree,27.192226,-82.378446,Yes,Yes,Yes,1,1,0,2016,
SA057,Sarasota,artificial structure,27.368556,-82.539194,Yes,Yes,Yes,1,1,0,2016,
SA060,Sarasota,artificial structure,27.29,-82.524,Yes,No,No,0,0,0,2016,
SA062,Sarasota,Tree,27.345,-82.433,Yes,Yes,Yes,1,1,0,2016,
SA066,Sarasota,tree,27.115,-82.42,Yes,Yes,Yes,1,1,0,2016,
SA068,Sarasota,tree,27.179,-82.489,Yes,Yes,Yes,2,2,0,2016,
SE004,Seminole,tree,28.683,-81.228,Yes,Yes,Yes,1,1,0,2016,
SE012,Seminole,tree,28.638,-81.299,Yes,Yes,Yes,1,1,0,2016,
SE019,Seminole,tree,28.723,-81.058,yes,Yes,Yes,1,1,0,2016,
SE027,Seminole,tree,28.7,-81.44,Yes,Yes,Yes,2,2,0,2016,
SE047,Seminole,tree,28.797,-81.308,Yes,No,No,0,0,0,2016,
SE057,Seminole,tree,28.735,-81.26,Yes,Yes,Yes,1,1,0,2016,
SE081,Seminole,tree,28.729,-81.141,Yes,Yes,Yes,2,2,0,2016,
SE092,Seminole,artificial structure,28.691,-81.22,Yes,Yes,Yes,1,1,0,2016,
SE093,Seminole,tree,28.632,-81.314,Yes,Yes,Yes,1,1,0,2016,
SE103,Seminole,artificial structure,28.787988,-81.214669,No,No,No,0,0,0,2016,
SJ031,St Johns,tree,30.021,-81.33199,Yes,Yes,Yes,1,1,0,2016,
SJ037,St Johns,tree,30.087,-81.635,Yes,Yes,Yes,2,2,0,2016,
SJ039,Saint Johns,tree,30.239167,-81.386667,Yes,Yes,Yes,2,2,0,2016,
SL005,Saint Lucie,tree,27.327333,-80.294667,No,No,No,0,0,0,2016,
SL016,Saint Lucie,tree,27.370487,-80.30286,Yes,Yes,No,1,0,1,2016,
SU040,Sumter,tree,28.923,-82.136,No,No,No,0,0,0,2016,
VO012,Volusia,tree,28.866333,-81.253333,Yes,Yes,Yes,2,2,0,2016,
VO045,Volusia,tree,28.8615,-81.234833,Yes,Yes,Yes,2,2,0,2016,
VO075,Volusia,tree,29.112,-80.985,Yes,Yes,Yes,2,2,0,2016,
VO082,Volusia,tree,28.847333,-81.2365,Yes,Yes,Yes,2,2,0,2016,
VO097,Volusia,tree,29.075,-80.978,Yes,Yes,Yes,2,2,0,2016,
VO100,Volusia,tree,29.152,-81.04,Yes,No,No,0,0,0,2016,
VO102,Volusia,tree,29.185,-81.097,Yes,Yes,Yes,2,2,0,2016,
VO105,Volusia,tree,28.994833,-81.332,Yes,Yes,No,1,0,1,2016,
VO114,Volusia,tree,28.893833,-81.219667,Yes,Yes,No,2,0,2,2016,
VO133,Volusia,tree,29.134,-81.056,Yes,Yes,Yes,1,1,0,2016,
VO139,Volusia,tree,29.109203,-81.368037,Yes,Yes,Yes,2,2,0,2016,
VO135,Volusia,tree,29.124,-81.011,Yes,Yes,Yes,2,2,0,2016,
VO138,Volusia,tree,28.873,-81.271,Yes,Yes,Yes,1,1,0,2016,
VO140,Volusia,tree,28.849,-81.243,Yes,Yes,Yes,2,2,0,2016,
AL028,Alachua,tree,29.488,-82.175,Yes,Yes,Yes,2,2,0,2017,
AL066,Alachua,tree,29.485,-82.267,Yes,Yes,Yes,2,2,0,2017,
AL101,Alachua,tree,29.493,-82.128,Yes,Yes,Yes,2,2,0,2017,
AL102,Alachua,tree,29.491,-82.181,Yes,Yes,Yes,1,1,0,2017,
BE014,Brevard,tree,27.843,-80.532,No,No,No,0,0,0,2017,
BE019,Brevard,tree,28.055,-80.69,Yes,Yes,Yes,2,2,0,2017,
BE027,Brevard,tree,28.045,-80.612,Yes,Yes,Yes,2,2,0,2017,
BE037,Brevard,tree,28.152,-80.69,Yes,Yes,Yes,1,1,0,2017,
BE056,Brevard,tree,28.26,-80.692,No,No,No,0,0,0,2017,
BE065,Brevard,artificial structure,28.196,-80.7065,No,No,No,0,0,0,2017,
BE066,Brevard,tree,28.781,-80.796,Yes,Yes,Yes,2,2,0,2017,
BE089,Brevard,tree,28.206,-80.698,Yes,Yes,Yes,2,2,0,2017,
BO002,Broward,tree,26.007,-80.426,Yes,Yes,Yes,2,2,0,2017,
BO003,Broward,tree,26.307,-80.165,Yes,Yes,Yes,3,3,0,2017,
CH017,Charlotte,tree,26.925,-82.338,Yes,Yes,Yes,1,1,0,2017,
CI046,Citrus,tree,28.872,-82.559,Yes,Yes,Yes,2,2,0,2017,
CL016,Clay,tree,30.104,-81.76,Yes,Yes,Yes,1,1,0,2017,
CL018,Clay,tree,30.04,-81.711,Yes,Yes,Yes,1,1,0,2017,
CL023,Clay,tree,29.843,-81.967,Yes,Yes,Yes,2,2,0,2017,
CL026,Clay,tree,29.921,-81.683,No,No,No,0,0,0,2017,
CL028,Clay,tree,30.023,-81.694,Yes,No,No,0,0,0,2017,
CL029,Clay,tree,30.132,-81.723,Yes,Yes,Yes,2,2,0,2017,
CL031,Clay,tree,30.166354,-81.834699,Yes,Yes,No,1,0,1,2017,
CL032,Clay,tree,30.141,-81.706,Yes,No,No,0,0,0,2017,
CO001,Collier,tree,26.291,-81.806,Yes,Yes,No,0,0,0,2017,
CO011,Collier,tree,25.994,-81.602,Yes,Yes,Yes,2,2,0,2017,
CO016,Collier,tree,25.946,-81.47,No,No,No,0,0,0,2017,
CO019,Collier,tree,26.297,-81.823,Yes,Yes,No,1,0,1,2017,
CO029,Collier,tree,25.954,-81.737,Yes,Yes,Yes,3,3,0,2017,
CO031,Collier,tree,26.261,-81.672,Yes,Yes,No,2,0,2,2017,
CO036,Collier,tree,26.289,-81.813,Yes,Yes,Yes,2,2,0,2017,
CO040,Collier,tree,26.115,-81.767,Yes,Yes,No,0,0,0,2017,
CO041,Collier,tree,26.016,-81.736,Yes,Yes,Yes,1,1,0,2017,
CO043,Collier,tree,26.260667,-81.777667,Yes,Yes,Yes,1,1,0,2017,
CO045,Collier,tree,26.3,-81.534,Yes,Yes,No,2,0,2,2017,
CO049,Collier,tree,26.281167,-81.7495,Yes,No,No,0,0,0,2017,
CO050,Collier,tree,26.129,-81.803,Yes,Yes,No,2,0,2,2017,
CO053,Collier,tree,26.209,-81.81,Yes,Yes,Yes,2,2,0,2017,
CO056,Collier,tree,26.148,-81.679,Yes,Yes,Yes,2,2,0,2017,
DU006,Duval,tree,30.285333,-81.414833,Yes,Yes,No,0,0,0,2017,
DU010,Duval,tree,30.473,-81.505,Yes,Yes,No,0,0,0,2017,
DU012,Duval,tree,30.35,-81.416,Yes,No,No,0,0,0,2017,
DU013,Duval,tree,30.355,-81.476,Yes,Yes,Yes,1,1,0,2017,
DU014,Duval,tree,30.208,-81.628,Yes,No,No,0,0,0,2017,
DU018,Duval,tree,30.274,-81.414,Yes,Yes,Yes,3,3,0,2017,
DU020,Duval,tree,30.287,-81.659,Yes,Yes,Yes,1,1,0,2017,
DU022,Duval,tree,30.277,-81.702,Yes,Yes,Yes,2,2,0,2017,
DU023,Duval,tree,30.255,-81.565,Yes,Yes,Yes,2,2,0,2017,
DU025,Duval,tree,30.288764,-81.706799,No,No,No,0,0,0,2017,
